2023-04-07 23:48:50,453 INFO    MainThread:31175 [wandb_setup.py:_flush():68] Configure stats pid to 31175
2023-04-07 23:48:50,454 INFO    MainThread:31175 [wandb_setup.py:_flush():68] Loading settings from /home/yx/.config/wandb/settings
2023-04-07 23:48:50,454 INFO    MainThread:31175 [wandb_setup.py:_flush():68] Loading settings from /mnt/c/kust/kust/python_code/python_code/code/experiments/unet/wandb/settings
2023-04-07 23:48:50,454 INFO    MainThread:31175 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-04-07 23:48:50,454 INFO    MainThread:31175 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'myunet.py', 'program': '/mnt/c/kust/kust/python_code/python_code/code/experiments/unet/myunet.py'}
2023-04-07 23:48:50,463 INFO    MainThread:31175 [wandb_init.py:_log_setup():476] Logging user logs to ./runs/wandb/run-20230407_234850-syxeds1l/logs/debug.log
2023-04-07 23:48:50,463 INFO    MainThread:31175 [wandb_init.py:_log_setup():477] Logging internal logs to ./runs/wandb/run-20230407_234850-syxeds1l/logs/debug-internal.log
2023-04-07 23:48:50,463 INFO    MainThread:31175 [wandb_init.py:init():516] calling init triggers
2023-04-07 23:48:50,463 INFO    MainThread:31175 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-04-07 23:48:50,463 INFO    MainThread:31175 [wandb_init.py:init():569] starting backend
2023-04-07 23:48:50,463 INFO    MainThread:31175 [wandb_init.py:init():573] setting up manager
2023-04-07 23:48:50,466 INFO    MainThread:31175 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-07 23:48:50,469 INFO    MainThread:31175 [wandb_init.py:init():580] backend started and connected
2023-04-07 23:48:50,470 INFO    MainThread:31175 [wandb_init.py:init():658] updated telemetry
2023-04-07 23:48:50,480 INFO    MainThread:31175 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
